YAA,Anahim Lake, British Columbia, Canada
YAB,Arctic Bay, Nunavut, Canada
YAC,Cat Lake, Ontario, Canada
YAD, Moose Lake, Manitoba, Canada
YAG,Fort Frances, Ontario, Canada
YAH,La Grande-4, Quebec, Canada
YAI,Chill\u00e1n, Chile
YAJ,Saturna Island, British Columbia, Canada
YAK, Yakutat, Alaska, United States
YAL,Alert Bay, British Columbia, Canada
YAM, Sault Ste. Marie, Ontario, Canada
YAN,Yangambi, Democratic Republic of the Congo
YAO,Yaound\u00e9, Cameroon
YAP,Yap, Federated States of Micronesia
YAQ, Maple Bay, British Columbia, Canada
YAR,La Grande-3, Quebec, Canada
YAS,Yasawa, Fiji
YAT,Attawapiskat, Ontario, Canada
YAU,Raglan Mine, Quebec, Canada
YAV,Mayne Island, British Columbia, Canada
YAX,Wapekeka, Ontario, Canada
YAY, St. Anthony, Newfoundland and Labrador, Canada
YAZ,Tofino, British Columbia, Canada
YBA, Banff, Alberta, Canada
YBB,Kugaaruk, Nunavut, Canada
YBC,Baie-Comeau, Quebec, Canada
YBE,Uranium City, Saskatchewan, Canada
YBF,Bamfield, British Columbia, Canada
YBG,  (Bagotville), Quebec, Canada
YBH,Bull Harbour, British Columbia, Canada
YBI,Black Tickle, Newfoundland and Labrador, Canada
YBJ, Baie-Johan-Beetz, Quebec, Canada
YBK, Baker Lake, Nunavut, Canada
YBL, Campbell River, British Columbia, Canada
YBO, Bob Quinn Lake, British Columbia, Canada
YBP,Yibin, Sichuan, China
YBQ,Thetis Island, British Columbia, Canada
YBR, Brandon, Manitoba, Canada
YBS,Opapimiskan Lake, Ontario, Canada
YBT, Brochet, Manitoba, Canada
YBV, Berens River, Manitoba, Canada
YBW,Bedwell Harbour, British Columbia, Canada
YBX, Blanc-Sablon, Quebec, Canada
YBY,Bonnyville, Alberta, Canada
YCA, Courtenay, British Columbia, Canada
YCB,Cambridge Bay, Nunavut, Canada
YCC, Cornwall, Ontario, Canada
YCD,Nanaimo, British Columbia, Canada
YCE,Centralia, Ontario, Canada
YCF,Cortes Island, British Columbia, Canada
YCG, Castlegar, British Columbia, Canada
YCH, Miramichi, New Brunswick, Canada
YCK, Colville Lake, Northwest Territories, Canada
YCL, Charlo, New Brunswick, Canada
YCM,St. Catharines, Ontario, Canada
YCN, Cochrane, Ontario, Canada
YCO,Kugluktuk, Nunavut, Canada
YCQ, Chetwynd, British Columbia, Canada
YCR, Cross Lake, Manitoba, Canada
YCS, Chesterfield Inlet, Nunavut, Canada
YCT, Coronation, Alberta, Canada
YCU,Yuncheng, Shanxi, China
YCW,Chilliwack, British Columbia, Canada
YCY, Clyde River, Nunavut, Canada
YCZ, Fairmont Hot Springs, British Columbia, Canada
YDA,Dawson City, Yukon, Canada
YDB,Burwash Landing, Yukon, Canada
YDC,Drayton Valley, Alberta, Canada
YDE, Paradise River, Newfoundland and Labrador, Canada
YDF, Deer Lake, Newfoundland and Labrador, Canada
YDG, Digby, Nova Scotia, Canada
YDJ,Hatchet Lake, Saskatchewan, Canada
YDL,Dease Lake, British Columbia, Canada
YDN, Dauphin, Manitoba, Canada
YDO,Dolbeau-Mistassini, Quebec, Canada
YDP, Nain, Newfoundland and Labrador, Canada
YDQ,Dawson Creek, British Columbia, Canada
YDT,Vancouver, British Columbia, Canada
YDU,Kasba Lake, Northwest Territories, Canada
YDV,Bloodvein, Manitoba, Canada
YDW,Obre Lake, Northwest Territories, Canada
YEA,Edmonton, Alberta, Canada
YEB, Bar River, Ontario, Canada
YEC,Yecheon, South Korea
YEG,Edmonton, Alberta, Canada
YEI,Bursa, Turkey
YEK,Arviat, Nunavut, Canada
YEL,Elliot Lake, Ontario, Canada
YEM,Manitowaning, Ontario, Canada
YEN,Estevan, Saskatchewan, Canada
YEO,Yeovilton, England, United Kingdom
YEQ,Yankisa, Papua New Guinea
YER,Fort Severn, Ontario, Canada
YES, (Yasouj), Iran
YET, Edson, Alberta, Canada
YEU, Eureka, Nunavut, Canada
YEV,Inuvik, Northwest Territories, Canada
YEY, Amos, Quebec, Canada
YFA,Fort Albany, Ontario, Canada
YFB,Iqaluit, Nunavut, Canada
YFC,Fredericton, New Brunswick, Canada
YFE, Forestville, Quebec, Canada
YFG, Fontanges, Quebec, Canada
YFH, (Fort Hope), Ontario, Canada
YFI,Fort McKay, Alberta, Canada
YFJ,Wekweeti, Northwest Territories, Canada
YFL, Fort Reliance, Northwest Territories, Canada
YFO,Flin Flon, Manitoba, Canada
YFR,Fort Resolution, Northwest Territories, Canada
YFS,Fort Simpson, Northwest Territories, Canada
YFX, St. Lewis, Newfoundland and Labrador, Canada
YGB,Gillies Bay, British Columbia, Canada
YGC,Grande Cache, Alberta, Canada
YGE,Gorge Harbour, British Columbia, Canada
YGG, Ganges, British Columbia, Canada
YGH,Fort Good Hope, Northwest Territories, Canada
YGJ, Yonago, Honshu, Japan
YGK, Kingston, Ontario, Canada
YGL, Radisson, Quebec, Canada
YGM, Gimli, Manitoba, Canada
YGN,Greenway Sound, British Columbia, Canada
YGO, Gods Lake Narrows, Manitoba, Canada
YGP, Gasp\u00e9, Quebec, Canada
YGQ,  (Geraldton), Ontario, Canada
YGR, Les \u00celes-de-la-Madeleine, Quebec, Canada
YGT,Igloolik, Nunavut, Canada
YGV,Havre-Saint-Pierre, Quebec, Canada
